cite	oid	case_name	date_filed	author	tl	cb	src	all_cites
173 N.W. 475	2171	Nelson v. Middlewest Grain Co.	1919-06-21	Grace	864	0	westlaw*,NW	173 N.W. 475,44 N.D. 247

18 N.D. 76	458	State ex rel. City of Minot v. Willis	1908-11-19	Fisk	12974	4	NW*	118 N.W. 820,18 N.D. 76
18 N.D. 76	459	State ex rel. City of Minot v. Willis	1908-11-19	PC	1056	0	NW*	118 N.W. 823,18 N.D. 76
18 N.D. 76	20386	State ex rel. City of Minot v. Willis (per curiam follow-on)	1908-11-19	?	866	3	westlaw*	118 N.W. 823 (Mem),18 N.D. 76

203 N.W. 898	3130	State ex rel. Solberg v. Spicher	1925-05-02	Birdzell	24799	0	westlaw*,NW	203 N.W. 898,52 N.D. 518
203 N.W. 898	3131	State Bank of Fairfax v. Blum	1925-05-02	Christianson	2110	0	westlaw*,NW	203 N.W. 898,52 N.D. 530
203 N.W. 898	3132	Re Solberg	1925-05-02	Johnson	23647	6	NW*	203 N.W. 898,52 N.D. 518

206 N.W. 230	3233	State ex rel. Pfann v. Kunkel	1925-11-13	Johnson	3458	0	westlaw*,NW	206 N.W. 230,53 N.D. 389
206 N.W. 230	3234	Sperry v. North River Insurance	1925-11-13	Birdzell	4446	0	westlaw*,NW	206 N.W. 230,53 N.D. 387
206 N.W. 230	3235	Re Pfann	1925-11-13	Johnson	2936	1	NW*	206 N.W. 230,53 N.D. 389

249 N.W. 718	4426	Baird v. Gray	1933-07-17	Birdzell	1015	0	westlaw*,NW	249 N.W. 718,63 N.D. 640
249 N.W. 718	4427	Baird v. Gray	1933-07-17	PC	908	4	NW*	249 N.W. 718,63 N.D. 640
249 N.W. 718	4428	State Ex Rel. Larkin v. Wheat Growers Warehouse Co.	1933-07-21	Burke	25499	6	westlaw*,NW	249 N.W. 718,63 N.D. 641

256 N.W. 374	4553	Stitzel v. Byrne	1934-07-20	PC	1467	0	NW*,NW,westlaw	256 N.W. 374,64 N.D. 701
256 N.W. 374	4554	Myrtle School District No. 8 v. Bischof	1934-09-25	Burke	9863	0	westlaw*,NW	256 N.W. 374,65 N.D. 63

277 N.W. 604	4809	Southall v. Quam	1938-02-07	Burke	1589	0	westlaw*,NW	277 N.W. 604,68 N.D. 195
277 N.W. 604	4810	Southall v. Quam	1938-02-07	PC	1354	0	NW*	277 N.W. 604,68 N.D. 195
277 N.W. 604	4811	Altman v. Altman	1938-02-07	PC	2341	0	westlaw*,NW	277 N.W. 604,68 N.D. 189

280 N.W. 204	4841	Haugen v. Armour & Co.	1938-03-29	PC	1327	0	westlaw*,NW	280 N.W. 204,68 N.D. 282
280 N.W. 204	4842	Weir v. Armour & Co.	1938-03-29	PC	1317	0	westlaw*,NW	280 N.W. 204,68 N.D. 281
280 N.W. 204	4843	Haugen v. Armour Co.	1938-03-29	PC	1121	1	NW*	280 N.W. 204,68 N.D. 282
280 N.W. 204	4844	Weir v. Armour Co.	1938-03-29	PC	1120	1	NW*	280 N.W. 204,68 N.D. 281

396 N.W.2d 729	9767	In re Schirado	1986-09-16	?	1237	0	westlaw*,NW2d	396 N.W.2d 729
396 N.W.2d 729	9768	In re Schirado	1986-11-03	Erickstad	858	0	westlaw*,NW2d	396 N.W.2d 729
396 N.W.2d 729	9769	State v. Kesler	1986-11-18	VandeWalle	19274	2	westlaw*,NW2d	396 N.W.2d 729

4 N.W.2d 224	9810	Arnold v. Cass County	1942-05-26	PC	931	0	westlaw*,NW2d	4 N.W.2d 224,72 N.D. 27
4 N.W.2d 224	9811	McArthur v. Cass County	1942-05-26	PC	925	0	westlaw*,NW2d	4 N.W.2d 224,72 N.D. 26
4 N.W.2d 224	9812	Arnold v. Cass County	1942-05-26	PC	862	0	NW2d*	4 N.W.2d 224,72 N.D. 27
4 N.W.2d 224	9813	McArthur v. Cass County	1942-05-26	PC	856	0	NW2d*	4 N.W.2d 224,72 N.D. 26

472 N.W.2d 914	10931	Disciplinary Board of the Supreme Court of the State v. Johnson	1991-04-29	Erickstad	2725	0	NW2d*	472 N.W.2d 914
472 N.W.2d 914	10932	Disciplinary Action Against Johnson	1991-04-29	?	2720	0	NW2d*	472 N.W.2d 914
472 N.W.2d 914	10933	Disciplinary Board of the Supreme Court of the State v. Johnson	1991-08-15	Erickstad	1505	3	westlaw*,NW2d	472 N.W.2d 914

489 N.W.2d 886	11204	Woessner v. Backes	1992-10-01	VandeWalle	922	0	westlaw*,NW2d,NW2d	489 N.W.2d 886
489 N.W.2d 886	11205	Putney v. Backes	1992-10-01	Meschke	921	1	westlaw*,NW2d,NW2d	489 N.W.2d 886

51 N.W. 787	5197	Northern Pacific Railroad v. Tressler	1892-01-12	Winchester	1135	0	NW*	2 N.D. 397,51 N.W. 787
51 N.W. 787	5198	Northern Pacific Railroad v. Brewer	1892-01-12	Winchester	1110	0	NW*	2 N.D. 396,51 N.W. 787
51 N.W. 787	5199	Northern Pacific Railroad v. Strong	1892-01-12	Winchester	1109	0	NW*	2 N.D. 395,51 N.W. 787

521 N.W.2d 643	11740	Hosman v. North Dakota State University	1994-09-13	Levine	1339	0	westlaw*,NW2d,NW2d	521 N.W.2d 643
521 N.W.2d 643	11741	Ferris v. North Dakota Centennial Commission	1994-09-13	Levine	1854	2	westlaw*,NW2d,NW2d	521 N.W.2d 643

57 N.W.2d 242	12544	United States v. State	1953-01-23	Burke	7737	2	westlaw*,NW2d,NW2d,NW2d	57 N.W.2d 242,79 N.D. 395

612 N.W.2d 278	13188	Disciplinary Board v. Stevenson	2000-06-19	PC	2353	0	ND*,NW2d,archive	2000 ND 126,612 N.W.2d 278
612 N.W.2d 278	13189	In Re Disciplinary Action Against Stevenson	2000-06-19	PC	2247	2	ND*,NW2d,archive	2000 ND 126,612 N.W.2d 278
612 N.W.2d 278	13190	Montgomery v. Disciplinary Board	2000-06-23	PC	13394	6	ND*,NW2d,archive	2000 ND 127,612 N.W.2d 278

638 N.W.2d 45	13503	Interest of J.S.  (CONFIDENTIAL)                          (see Docket Memo)	2002-01-15	VandeWalle	5428	0	ND*,NW2d,archive	2002 ND 7,638 N.W.2d 45
638 N.W.2d 45	13504	In Re JS	2002-07-25	VandeWalle	5653	5	ND*,NW2d,archive	2002 ND 7,638 N.W.2d 45
638 N.W.2d 45	13505	City of Fargo v. Tipler	2002-01-15	Kapsner	2032	5	ND*,NW2d,archive	2002 ND 8,638 N.W.2d 45

64 N.D. 367	4482	Thorvaldson-Johnson Co. v. Cochran	1934-01-15	Christianson	4066	2	westlaw*,NW	252 N.W. 268,64 N.D. 367
64 N.D. 367	4484	Ott v. Kelley	1934-01-15	PC	944	0	westlaw*,NW	252 N.W. 271,64 N.D. 367
64 N.D. 367	4485	Ott v. Kelley	1934-01-15	PC	769	1	NW*	252 N.W. 271,64 N.D. 367

709 N.W.2d 21	14412	Acuity Ins. Co. v. Meridian Ins. Co.	2005-10-18	PC	18676	0	ND*,NW2d,archive	2005 ND 169,709 N.W.2d 21
709 N.W.2d 21	14413	City of Bismarck v. Witzke	2005-10-18	PC	1697	5	ND*,NW2d,archive	2005 ND 170,709 N.W.2d 21
709 N.W.2d 21	14414	State v. Moore	2005-11-09	?	417	0	NW2d*,archive	709 N.W.2d 21
709 N.W.2d 21	14415	Johnson v. State	2005-11-29	?	424	0	NW2d*,archive	709 N.W.2d 21
709 N.W.2d 21	14416	State v. White Mountain	2005-12-20	?	445	7	NW2d*,archive	709 N.W.2d 21

711 N.W.2d 606	14481	State v. Klein	2006-02-23	?	418	0	NW2d*,archive	711 N.W.2d 606
711 N.W.2d 606	14482	State v. Feist	2006-03-29	?	415	0	NW2d*,archive	711 N.W.2d 606
711 N.W.2d 606	14483	State v. Smith	2006-03-29	?	461	2	NW2d*,archive	711 N.W.2d 606

719 N.W.2d 759	14585	In Re Nb	2006-09-29	?	402	0	NW2d*,archive	719 N.W.2d 759
719 N.W.2d 759	14586	City of Fargo v. Curtis	2006-09-29	?	448	0	NW2d*,archive	719 N.W.2d 759
719 N.W.2d 759	14587	In Re Kg	2006-09-29	?	402	0	NW2d*,archive	719 N.W.2d 759
719 N.W.2d 759	14588	State v. Rutherford	2006-09-29	?	436	0	NW2d*,archive	719 N.W.2d 759
719 N.W.2d 759	14589	State v. JELLEBERG	2006-09-29	?	433	0	NW2d*,archive	719 N.W.2d 759

742 N.W.2d 839	14861	Kram v. DIRECTOR, NORTH DAKOTA DEPT. OF TRANSP.	2007-10-16	?	520	0	NW2d*,archive	742 N.W.2d 839
742 N.W.2d 839	14862	Bowman v. NORTH DAKOTA WORKFORCE SAFETY AND INS. FUND	2007-12-13	?	539	0	NW2d*,archive	742 N.W.2d 839
742 N.W.2d 839	14863	City of Jamestown v. Baker	2007-12-13	?	458	0	NW2d*,archive	742 N.W.2d 839
742 N.W.2d 839	14864	State v. GANDESBERY	2007-12-13	?	437	0	NW2d*,archive	742 N.W.2d 839
742 N.W.2d 839	14865	State v. Matuska	2007-12-13	?	428	0	NW2d*,archive	742 N.W.2d 839
742 N.W.2d 839	14866	State v. GRUETT	2007-10-16	?	424	0	NW2d*,archive	742 N.W.2d 839
742 N.W.2d 839	14867	State v. Grzeskowiak	2007-10-16	?	411	0	NW2d*,archive	742 N.W.2d 839
742 N.W.2d 839	14868	State v. Jager	2007-10-16	PC	1607	0	ND*,NW2d,archive	2007 ND 152,742 N.W.2d 839
742 N.W.2d 839	14869	State v. Knight	2007-10-16	?	424	0	NW2d*,archive	742 N.W.2d 839
742 N.W.2d 839	14870	State v. MOILWA	2007-10-16	?	424	0	NW2d*,archive	742 N.W.2d 839
742 N.W.2d 839	14871	State v. Overby	2007-10-16	?	424	0	NW2d*,archive	742 N.W.2d 839
742 N.W.2d 839	14872	State v. SKARSGARD	2007-11-14	?	406	0	NW2d*,archive	742 N.W.2d 839
742 N.W.2d 839	14873	State v. Thompson	2007-11-14	?	450	1	NW2d*,archive	742 N.W.2d 839

756 N.W.2d 548	15057	State v. TORKELSEN	2008-07-02	?	412	0	NW2d*,archive	756 N.W.2d 548
756 N.W.2d 548	15058	State v. Johnson	2008-09-23	?	402	0	NW2d*,archive	756 N.W.2d 548
756 N.W.2d 548	15059	Tarnavsky v. Tarnavsky	2008-09-26	?	448	3	NW2d*,archive	756 N.W.2d 548

766 N.W.2d 437	15200	Judicial Vacancy in Judgeship No. 3, Southwest Judicial District	2009-06-16	PC	2999	0	ND*,NW2d,archive	2009 ND 91,766 N.W.2d 437
766 N.W.2d 437	15201	Matter of A.M.       (CONFIDENTIAL)	2009-06-17	Sandstrom	15730	0	ND*,NW2d,archive	2009 ND 104,766 N.W.2d 437
766 N.W.2d 437	15202	In Re AM	2009-06-17	Sandstrom	15823	10	ND*,NW2d,archive	2009 ND 104,766 N.W.2d 437

777 N.W.2d 62	15331	Matter of Hanenberg	2010-01-12	Sandstrom	11870	0	ND*,NW2d,archive	2010 ND 8,777 N.W.2d 62
777 N.W.2d 62	15332	Everett v. State	2010-01-12	PC	1808	0	ND*,NW2d,archive	2010 ND 4,777 N.W.2d 62
777 N.W.2d 62	15333	In Re Hanenberg	2010-08-25	Sandstrom	11920	13	ND*,NW2d,archive	2010 ND 8,777 N.W.2d 62

84 N.W. 1117	5747	Emmons County v. Wilson	1900-12-08	Bartholomew	756	0	NW*	84 N.W. 1117,9 N.D. 615
84 N.W. 1117	5748	Emmons County v. Thistlewaite	1900-11-13	PC	819	0	NW*	84 N.W. 1117,9 N.D. 614
84 N.W. 1117	5749	Emmons County v. Robinson	1900-11-13	PC	801	0	NW*	84 N.W. 1117,9 N.D. 613
84 N.W. 1117	5750	Emmons County v. Mellon	1900-11-13	PC	827	0	NW*	84 N.W. 1117,9 N.D. 612
84 N.W. 1117	5751	Emmons County v. Lilly	1900-11-13	PC	781	0	NW*	84 N.W. 1117,9 N.D. 611
84 N.W. 1117	5752	Emmons County v. Kelly	1900-11-13	PC	832	0	NW*	84 N.W. 1117,9 N.D. 610
84 N.W. 1117	5753	Emmons County v. Couch	1900-11-13	PC	801	0	NW*	84 N.W. 1117,9 N.D. 609
84 N.W. 1117	5754	Emmons County v. Davidson	1900-11-13	PC	779	0	NW*	84 N.W. 1117,9 N.D. 608

92 N.W. 1133	5925	Percy v. Cass County Drain Com'rs	1903-07-01	PC	1053	0	NW*	11 N.D. 522,92 N.W. 1133
92 N.W. 1133	5926	Monson v. Cass County Drain Com'rs	1903-07-01	PC	1046	0	NW*	11 N.D. 521,92 N.W. 1133
92 N.W. 1133	5927	Hagman v. Cass County Drain Com'rs	1902-11-12	PC	1015	0	westlaw*,NW	11 N.D. 520,92 N.W. 1133
92 N.W. 1133	5928	Anderson v. Cass County Drain Com'rs	1902-11-12	PC	1018	0	westlaw*,NW	11 N.D. 519,92 N.W. 1133

92 N.W. 1134	5929	Thompson v. Cass County Drain Com'rs	1903-07-01	PC	1057	0	NW*	11 N.D. 525,92 N.W. 1134
92 N.W. 1134	5930	Potter v. Cass County Drain Com'rs	1903-07-01	PC	1055	0	NW*	11 N.D. 524,92 N.W. 1134
92 N.W. 1134	5931	Peterson v. Cass County Drain Com'rs	1903-07-01	PC	1052	0	NW*	11 N.D. 523,92 N.W. 1134

