opinion_id,year,primary_cite,section,break_type,malformed,bad_cite,context
19549,2020,2020 ND 268,12.1-05-08,inline_space,0,N.D.C.C. § 12.1-05- 08,.D.C.C. § 12.1-01-03(1); N.D.C.C. § 12.1-05- 08. Section 12.1-
19567,2020,2020 ND 7,65-01-16,inline_space,0,N.D.C.C. § 65-01- 16,and N.D.C.C. ch. 28-32. N.D.C.C. § 65-01- 16(9); N.D.C.C. §
19583,2021,2021 ND 106,27-20-44,inline_space,0,N.D.C.C. § 27-20- 44,", 904 N.W.2d 479 (citing N.D.C.C. § 27-20- 44(1)(c)(1)). The"
19586,2021,2021 ND 117,28-32-15,inline_space,0,N.D.C.C. § 28-32- 15,ble. Id. at 542. We held N.D.C.C. § 28-32- 15 authorizes an
19622,2021,2021 ND 3,65-01-16,inline_space,0,N.D.C.C. §§ 65-01- 16,and N.D.C.C. ch. 28-32. N.D.C.C. §§ 65-01- 16(9) and 65-10-0
19666,2022,2022 ND 154,14-08.1-05,inline_space,0,N.D.C.C. § 14-08.1- 05,"modified.” Id.; see also N.D.C.C. § 14-08.1- 05(1)(c). Thus, w"
19683,2022,2022 ND 200,27-20-44,inline_space,0,N.D.C.C. § 27-20- 44,te parental rights under N.D.C.C. § 27-20- 44(1)(c) [see now
19702,2022,2022 ND 44,12.1-32-01,inline_space,0,§ 12.1-32- 01,-03(2)(a) and (3)(b) and § 12.1-32- 01(2). Those coun
19702,2022,2022 ND 44,12.1-22-02,inline_space,0,N.D.C.C. § 12.1-22- 02,"ific purpose. See, e.g., N.D.C.C. § 12.1-22- 02 (“A person is"
19702,2022,2022 ND 44,12.1-23-10,inline_space,0,N.D.C.C. § 12.1-23- 10,ent to commit a crime”); N.D.C.C. § 12.1-23- 10(11) (shoplifti
19709,2022,2022 ND 85,28-32-33,inline_space,0,N.D.C.C. § 28-32- 33,"in this matter. However, N.D.C.C. § 28-32- 33(2) authorizes"
19722,2023,2023 ND 53,14-09-06.6,inline_space,0,N.D.C.C. § 14-09- 06.6,satisfies subpart (b) of N.D.C.C. § 14-09- 06.6(6). The distri
19737,2023,2023 ND 143,12.1-17-01.2,inline_space,0,N.D.C.C. § 12.1-17- 01.2,"emeanor, in violation of N.D.C.C. § 12.1-17- 01.2(2)(a). The def"
19743,2023,2023 ND 158,27-20-44,inline_space,0,N.D.C.C. § 27-20- 44,te parental rights under N.D.C.C. § 27-20- 44(1)(c) [now N.D
19757,2023,2023 ND 171,40-47-03,inline_space,0,N.D.C.C. § 40-47- 03,"ode of Ordinances. Under N.D.C.C. § 40-47- 03(4), zoning reg"
19810,2023,2023 ND 242,29-32.1-01,inline_space,0,N.D.C.C. § 29-32.1- 01,limitations provided in N.D.C.C. § 29-32.1- 01(3)(b) and he h
19816,2023,2023 ND 31,27-20.3-20,inline_space,0,N.D.C.C. § 27-20.3- 20,ered the requirements of N.D.C.C. § 27-20.3- 20(1)(c) (stating
19826,2023,2023 ND 71,28-32-46,inline_space,0,N.D.C.C. § 28-32- 46,"D.C.C. § 28-32-49. Under N.D.C.C. § 28-32- 46, a district co"
19826,2023,2023 ND 71,28-32-46,inline_space,0,N.D.C.C. § 28-32- 46,dance with the law under N.D.C.C. § 28-32- 46(1). A [¶10] T
19841,2024,2024 ND 10,2-117,inline_space,1,§ 2- 117,.C. § 30.1-04-16 (U.P.C. § 2- 117). A genetic pa
19841,2024,2024 ND 10,2-115,inline_space,1,§ 2- 115,"§ 30.1-04-14(5) (U.P.C. § 2- 115(5)), a “geneti"
19871,2024,2024 ND 127,12.1-17-02,inline_space,0,N.D.C.C. § 12.1-17- 02,[] another human being.” N.D.C.C. § 12.1-17- 02(1)(a). An esse
19912,2024,2024 ND 164,13-310,inline_space,1,§ 13- 310,); Ariz. Rev. Stat. Ann. § 13- 3101(4) (2019) (bu
19914,2024,2024 ND 166,45-20-02,inline_space,0,N.D.C.C. § 45-20- 02,process is complete. See N.D.C.C. § 45-20- 02(1) (stating a
19949,2024,2024 ND 198,30.1-12-01,inline_space,0,N.D.C.C. § 30.1-12- 01,"strict court. See, e.g., N.D.C.C. § 30.1-12- 01 (stating prope"
19950,2024,2024 ND 199,28-24-02,inline_space,0,N.D.C.C. § 28-24- 02,to redeem the property. N.D.C.C. § 28-24- 02. Redemption is
19974,2024,2024 ND 22,28-32-44,inline_space,0,N.D.C.C. § 28-32- 44,s before the agency. See N.D.C.C. § 28-32- 44(2). Because Ap
19979,2024,2024 ND 224,14-03.1-02,inline_space,0,N.D.C.C. § 14-03.1- 02,"ned after July 31, 2013. N.D.C.C. § 14-03.1- 02(1). A premarit"
19992,2024,2024 ND 236,20-040,inline_space,1,§§ 20- 040,oid Fargo Municipal Code §§ 20- 0403(C)(5)(e) and
19992,2024,2024 ND 236,20-040,inline_space,1,§§ 20- 040,mpt Fargo Municipal Code §§ 20- 0403(C)(5)(e) and
19995,2024,2024 ND 26,1-02-03,inline_space,0,N.D.C.C. §§ 1-02- 03,"d, phrase, and sentence. N.D.C.C. §§ 1-02- 03 and 1-02-38(2)"
20017,2024,2024 ND 46,1-02-03,inline_space,0,N.D.C.C. §§ 1-02- 03,"d, phrase, and sentence. N.D.C.C. §§ 1-02- 03 and 1-02-38(2)"
20050,2024,2024 ND 76,47-18-05,inline_space,0,N.D.C.C. § 47-18- 05,yance restrictions under N.D.C.C. § 47-18- 05 do not invalid
20071,2024,2024 ND 95,12.1-08-06,inline_space,0,N.D.C.C. § 12.1-08- 06,detention’ as defined by N.D.C.C. § 12.1-08- 06(3)(b) preclude
20075,2024,2024 ND 99,19-490,inline_space,1,§ 19- 490,"year period specified in § 19- 4902, the absence"
20105,2025,2025 ND 125,29-32.1-09,inline_space,0,N.D.C.C. § 29-32.1- 09,N.W.2d 724 (cleaned up); N.D.C.C. § 29-32.1- 09. [¶5] Section
20110,2025,2025 ND 13,29-32.1-01,inline_space,0,N.D.C.C. § 29-32.1- 01,on of” North Dakota law. N.D.C.C. § 29-32.1- 01(1)(a). Rule 35
20112,2025,2025 ND 131,1-02-02,inline_space,0,N.D.C.C. § 1-02- 02,ained.” Id. ¶ 9 (quoting N.D.C.C. § 1-02- 02). [¶56] The t
20117,2025,2025 ND 136,25-150,inline_space,1,§ 25- 150,eak is subject to F.M.C. § 25- 1509.2 which place
20140,2025,2025 ND 157,12.1-27.2-04.1,inline_space,0,N.D.C.C. § 12.1-27.2- 04.1,"ohibited in violation of N.D.C.C. § 12.1-27.2- 04.1, and giving fa"
20169,2025,2025 ND 183,29-32.1-01,inline_space,0,N.D.C.C. § 29-32.1- 01,appointed counsel under N.D.C.C. § 29-32.1- 01(1)(a). [¶8] W
20185,2025,2025 ND 198,14-09-06.6,inline_space,0,N.D.C.C. § 14-09- 06.6,"idential responsibility, N.D.C.C. § 14-09- 06.6(6)(a) requires"
20186,2025,2025 ND 199,12.1-33-02.1,inline_space,0,N.D.C.C. § 12.1-33- 02.1,D.C.C. § 43-17-31(1)(c); N.D.C.C. § 12.1-33- 02.1 (“A person may
20192,2025,2025 ND 203,27-20.2-15,inline_space,0,N.D.C.C. § 27-20.2- 15,S.C. § 1912(f); see also N.D.C.C. § 27-20.2- 15(4) (same). [¶
20219,2025,2025 ND 228,14-09-00.1,inline_space,0,N.D.C.C. § 14-09- 00.1,"dential responsibility.” N.D.C.C. § 14-09- 00.1(7). Here, Ward"
20223,2025,2025 ND 231,27-10-01.1,inline_space,0,N.D.C.C. § 27-10- 01.1,"ome circumstances. Under N.D.C.C. § 27-10- 01.1(4), a court ca"
20293,2025,2025 ND 81,12.1-17-04,inline_space,0,N.D.C.C. § 12.1-17- 04,"e with terrorizing under N.D.C.C. § 12.1-17- 04(1), which prov"
20330,2026,2026 ND 25,28-32-46,inline_space,0,N.D.C.C. § 28-32- 46,strative decisions under N.D.C.C. § 28-32- 46.” Liberty Petr
20347,2026,2026 ND 40,44-04-21.2,inline_space,0,N.D.C.C. § 44-04- 21.2,a remedy available under N.D.C.C. § 44-04- 21.2(1). Both parti
20418,2026,2026 ND 97,12-10-01,inline_space,0,§ 12- 10-01,"Bismarck Municipal Code § 12- 10-01, which tracks"
20420,2026,2026 ND 99,47-06-09,inline_space,0,N.D.C.C. § 47-06- 09,where the island formed. N.D.C.C. § 47-06- 09. Regardless of
20488,2026,2026 ND 100,12.1-17-02,inline_space,0,N.D.C.C. §§ 12.1-17- 02,"call, and menacing under N.D.C.C. §§ 12.1-17- 02(1)(a), 12.1-21"
20506,2026,2026 ND 101,12.1-01-04,inline_space,0,N.D.C.C. § 12.1-01- 04,the completed crime. See N.D.C.C. § 12.1-01- 04(15)(a) (statin
20512,2026,2026 ND 107,39-08-01.2,inline_space,0,N.D.C.C. § 39-08- 01.2,"ass A misdemeanor. Under N.D.C.C. § 39-08- 01.2, drivers causi"
12690,1998,1998 ND 118,61-14,newline,1,N.D.C.C. ch. 61-\n\n14,s must be acquired under N.D.C.C. ch. 61- 14 04. In upho
15349,2010,2010 ND 24,14-09-00.1,newline,0,N.D.C.C. § 14-09-\n00.1,"ime,” respectively. See N.D.C.C. § 14-09- 00.1(5) and (6); Ma"
16049,2013,2013 ND 85,59-3,newline,1,N.D.C.C. § 59-\n\n3,or’s actual intent. See N.D.C.C. § 59- 3 12-15; cf. S
16052,2013,2013 ND 99,32-03.2-02,newline,0,N.D.C.C. § 32-03.2-\n\n02,"mparative fault statute, N.D.C.C. § 32-03.2- 02, fault include"
16059,2013,2013 ND 95,29-20-07,newline,0,N.D.C.C. § 29-20-\n\n07,tification called for in N.D.C.C. § 29-20- 07(5). As an affi
16063,2013,2013 ND 97,1-02-02,newline,0,N.D.C.C. § 1-\n\n02-02,". . . .’” Id. (quoting N.D.C.C. § 1- 02-02). But, if the"
16125,2013,2013 ND 182,27-20-03,newline,0,N.D.C.C. § 27-20-\n\n03,"t, unruly, or deprived.” N.D.C.C. § 27-20- 03(1)(a). “‘Child"
16135,2013,2013 ND 196,10-19.1-60,newline,0,N.D.C.C. § 10-19.1-\n\n60,ircumstances.” See also N.D.C.C. § 10-19.1- 60 (outlining sim
16141,2013,2013 ND 214,29-32.1-05,newline,0,N.D.C.C. § 29-32.1-\n\n05,"is governed by statute. N.D.C.C. § 29-32.1- 05. Furthermore,"
16173,2013,2013 ND 193,32-03.1-02,newline,0,N.D.C.C. § 32-03.1-\n\n02,o receive immunity under N.D.C.C. § 32-03.1- 02 and that the Y
16230,2014,2014 ND 31,25-03.3-1,newline,1,N.D.C.C. § 25-03.3-\n\n1,ngerous individual under N.D.C.C. § 25-03.3- 1 01(8) and or
16237,2014,2014 ND 64,28-27-02,newline,0,N.D.C.C. §§ 28-27-\n\n02,"art. VI, §§ 2 and 6, and N.D.C.C. §§ 28-27- 02 and 30.1-02-06"
16276,2014,2014 ND 101,12.1-16-01,newline,0,N.D.C.C. § 12.1-16-\n\n01,"ther human being,” under N.D.C.C. § 12.1-16- 01. It is primar"
16299,2014,2014 ND 146,9-03-03,newline,0,N.D.C.C. § 9-03-\n\n03,hrough . . . [d]uress.” N.D.C.C. § 9-03- 03(1). Duress is
16462,2015,2015 ND 94,28-27-01,newline,0,N.D.C.C. § 28-\n\n27-01,"art. VI, §§ 2 and 6, and N.D.C.C. § 28- 27-01. II [¶12] Th"
16462,2015,2015 ND 94,1-02-07,newline,0,N.D.C.C. § 1-02-\n\n07,g to related provisions. N.D.C.C. § 1-02- 07. If the langua
16462,2015,2015 ND 94,47-190,newline,1,§ 47-\n\n190,n N.D. Rev. Code of 1943 § 47- 1901. Although our
16653,2016,2016 ND 20,13-02.1-01,newline,0,N.D.C.C. § 13-02.1-\n01,ds to the law firm. See N.D.C.C. § 13-02.1- 01(6) (defining “
16672,2016,2016 ND 45,32-9,newline,1,N.D.C.C. § 32-\n\n9,urt ultimately held that N.D.C.C. § 32- 9 03.2-02 req
16714,2016,2016 ND 104,38-08-11,newline,0,N.D.C.C. § 38-08-\n\n11,days after the hearing. N.D.C.C. § 38-08- 11(4). Any party
16714,2016,2016 ND 104,38-08-11,newline,0,N.D.C.C. § 38-08-\n11,N.D.C.C. § 38-08-06.4. N.D.C.C. § 38-08- 11(4). If a roya
16714,2016,2016 ND 104,38-08-11,newline,0,N.D.C.C. § 38-08-\n\n11,n files a petition. See N.D.C.C. § 38-08- 11(4). The legis
16714,2016,2016 ND 104,38-08-11,newline,0,N.D.C.C. § 38-\n\n08-11,ays of the hearing. See N.D.C.C. § 38- 08-11(4). A party a
16744,2016,2016 ND 116,28-32-24,newline,0,N.D.C.C. § 28-32-\n\n24,95 N.W.2d 196); see also N.D.C.C. § 28-32- 24(1). A hearing
16757,2016,2016 ND 145,12.1-04.1-20,newline,0,N.D.C.C. § 12.1-\n\n04.1-20,f his natural life under N.D.C.C. § 12.1- 04.1-20(1). [¶3] In
16784,2016,2016 ND 175,28-34-1,newline,1,N.D.C.C. §§ 28-34-\n\n1,e zoning variances under N.D.C.C. §§ 28-34- 1 01 and 40-
16784,2016,2016 ND 175,28-27-01,newline,0,N.D.C.C. § 28-27-\n\n01,"art. VI, §§ 2 and 6, and N.D.C.C. § 28-27- 01. A district c"
16785,2016,2016 ND 176,10-32.1-26,newline,0,N.D.C.C. § 10-\n\n32.1-26,"70, ¶ 9, 820 N.W.2d 357; N.D.C.C. § 10- 32.1-26(1) and (3)."
16923,2017,2017 ND 120,1-02-02,newline,0,N.D.C.C. § 1-\n\n02-02,t in its ordinary sense. N.D.C.C. § 1- 02-02. A dictionary
16923,2017,2017 ND 120,61-16.1-19,newline,0,N.D.C.C. § 61-\n\n16.1-19,ablishment of a project. N.D.C.C. § 61- 16.1-19. Notice of tha
17023,2017,2017 ND 212,1-02-02,newline,0,N.D.C.C. § 1-02-\n02,tention plainly appears. N.D.C.C. § 1-02- 02. Words and ph
17539,2019,2019 ND 196,59-6,newline,1,§ 59\n\n -6,under Kan. Stat. Ann. § 59 -6a201 *et seq.*
17589,2020,2020 ND 24,51-15-01,newline,0,N.D.C.C. § 51-15-\n01,for any consideration.” N.D.C.C. § 51-15- 01(5). Alleged mi
17596,2020,2020 ND 41,14-07-04,newline,0,N.D.C.C. § 14-07-\n04,"ND 27, ¶ 16 (relying on N.D.C.C. § 14-07- 04). Having legal"
17642,2020,2020 ND 93,28-32-42-49,newline,0,N.D.C.C. §§ 28-\n32-42-49,overning bodies. Compare N.D.C.C. §§ 28- 32-42-49 with N.D.C.C.
17674,2020,2020 ND 167,24-01-01.1,newline,0,N.D.C.C. § 24-01-\n01.1,dged in the department.” N.D.C.C. § 24-01- 01.1(45). The State
17675,2020,2020 ND 154,1-02-06.1,newline,0,N.D.C.C. § 1-02-\n06.1,y an appropriate court.” N.D.C.C. § 1-02- 06.1. I have previo
17688,2020,2020 ND 197,14-09-06.2,newline,0,N.D.C.C. § 14-09-\n06.2,0 N.W.2d 465 ). See also N.D.C.C. § 14-09- 06.2(1)(a)-(m). [¶
17722,2020,2020 ND 227,59-12-18,newline,0,N.D.C.C. § 59-12-\n18,"eated by parol evidence. N.D.C.C. § 59-12- 18; Binder, at 91"
17727,2020,2020 ND 239,27-20-44,newline,0,N.D.C.C. § 27-20-\n44,N.W.2d 597 (explaining N.D.C.C. § 27-20- 44(1)(c)(2) is cl
17736,2020,2020 ND 235,14-09-06.2,newline,0,N.D.C.C. § 14-09-\n06.2,l relevant factors under N.D.C.C. § 14-09- 06.2(1)(a) through
17738,2020,2020 ND 251,44-02-01,newline,0,N.D.C.C. § 44-02-\n01,"Const. art. IV, §§ 4, 7; N.D.C.C. § 44-02- 01(5). The Govern"
17738,2020,2020 ND 251,44-02-01,newline,0,N.D.C.C. § 44-02-\n01,the person was elected.” N.D.C.C. § 44-02- 01(5). The term o
17747,2021,2021 ND 2,34-6,newline,1,N.D.C.C. § 34-\n\n\n 6,at-will employment under N.D.C.C. § 34- 6 03-01 for law
17835,2021,2021 ND 108,14-07.1-01,newline,0,N.D.C.C. § 14-07.1-\n01,"4, ¶ 15 , 746 N.W.2d 3 ; N.D.C.C. § 14-07.1- 01(2). When it is"
17837,2021,2021 ND 110,12.1-20-05.1,newline,0,N.D.C.C. § 12.1-20-\n05.1,"g minors in violation of N.D.C.C. § 12.1-20- 05.1, a class B fel"
17848,2021,2021 ND 131,10-05.1-01,newline,0,§ 10-\n05.1-01,"Bismarck City Ordinance § 10- 05.1-01, which restric"
17848,2021,2021 ND 131,10-05.1-01,newline,0,§ 10-05.1-\n01,Bismarck City Ordinance § 10-05.1- 01. The ordinance
17848,2021,2021 ND 131,10-05.1-02,newline,0,§ 10-05.1-\n02,Bismarck City Ordinance § 10-05.1- 02. Selling merch
17864,2021,2021 ND 153,1-02-07,newline,0,N.D.C.C. § 1-02-\n07,g to related provisions. N.D.C.C. § 1-02- 07. We generally
17880,2021,2021 ND 186,1-01-06,newline,0,N.D.C.C. § 1-\n 01-06,"w, the statute prevails. N.D.C.C. § 1- 01-06; see also Cerm"
17888,2021,2021 ND 172,21-04-06,newline,0,§ 21-04-\n06,"Jamestown Municipal Code § 21-04- 06(1)(e)(ii), whi"
17898,2021,2021 ND 200,19-4,newline,1,N.D.C.C. § 19-\n\n\n 4,"g controlled substances, N.D.C.C. § 19- 4 03.4-01(5). Th"
17910,2021,2021 ND 208,14-05-24.1,newline,0,N.D.C.C. § 14-05-\n24.1,rd spousal support under N.D.C.C. § 14-05- 24.1. When determin
17911,2021,2021 ND 217,29-28-06,newline,0,NDCC section 29-28-\n 06,ight” as contemplated by NDCC section 29-28- 06 which controls
17940,2022,2022 ND 5,29-32.1-12,newline,0,N.D.C.C. § 29-32.1-\n12,"ed by res judicata under N.D.C.C. § 29-32.1- 12, and Lebeau fa"
17945,2022,2022 ND 16,14-09-09.10,newline,0,N.D.C.C. § 14-09-\n09.10,"nd 75-02-04.1-01(6), and N.D.C.C. § 14-09- 09.10(9). The Admini"
17965,2022,2022 ND 29,28-01-15,newline,0,N.D.C.C. § 28-\n 01-15,judgment for purposes of N.D.C.C. § 28- 01-15(1). Cf. City o
17975,2022,2022 ND 47,12.1-05-08,newline,0,N.D.C.C. § 12.1-05-\n08,defense of excuse under N.D.C.C. § 12.1-05- 08. Lusby did not
18005,2022,2022 ND 83,1-02-03,newline,0,N.D.C.C. § 1-02-\n03,to the rules of grammar. N.D.C.C. § 1-02- 03. When the lang
18007,2022,2022 ND 89,28-27-02,newline,0,N.D.C.C. § 28-27-\n02,rder is appealable under N.D.C.C. § 28-27- 02 and N.D.R.App.
18008,2022,2022 ND 71,29-32.1-01,newline,0,N.D.C.C. § 29-32.1-\n01,limitations provided in N.D.C.C. § 29-32.1- 01(3)(b). We conc
18072,2022,2022 ND 172,14-14.1-17,newline,0,N.D.C.C. § 14-\n 14.1-17,st follow the process in N.D.C.C. § 14- 14.1-17 and PKPA [Pare
18079,2022,2022 ND 181,19-03.1-23,newline,0,N.D.C.C. § 19-03.1-\n23,ntrolled substance under N.D.C.C. § 19-03.1- 23(1)(a). On appe
18103,2022,2022 ND 216,1-01-03,newline,0,N.D.C.C. § 1-01-\n03,38 N.W.2d 405 ; see also N.D.C.C. § 1-01- 03(7). “[T]here i
18109,2022,2022 ND 222,14-02.4-2,newline,1,N.D.C.C. § 14-02.4-\n\n 2,life activities . . . .” N.D.C.C. § 14-02.4- 2 02(5). Black’s
18121,2022,2022 ND 230,9-07-04,newline,0,N.D.C.C. § 9-07-\n04,"possible.” Id. (citing N.D.C.C. § 9-07- 04; Bernabucci, a"
18123,2023,2023 ND 7,14-05-24.1,newline,0,N.D.C.C. § 14-05-\n24.1,rd spousal support under N.D.C.C. § 14-05- 24.1. “When determi
18140,2023,2023 ND 13,29-32.1-12,newline,0,N.D.C.C. § 29-32.1-\n12,ef. The court considered N.D.C.C. § 29-32.1- 12(1) and found t
18149,2023,2023 ND 34,12.1-32-09.1,newline,0,N.D.C.C. § 12.1-32-\n09.1,"lin argues the impact of N.D.C.C. § 12.1-32- 09.1(1), which requ"
18162,2023,2023 ND 67,29-32.1-01,newline,0,N.D.C.C. § 29-32.1-\n01,isfy any condition under N.D.C.C. § 29-32.1- 01(3) warranting
18164,2023,2023 ND 65,14-02-02,newline,0,N.D.C.C. § 14-02-\n02,either libel or slander. N.D.C.C. § 14-02- 02. Libel is a fa
18192,2023,2023 ND 91,65-01-5,newline,1,N.D.C.C. § 65-01-\n\n 5,"mium collection statute, N.D.C.C. § 65-01- 5 02(5)(c) (1973"
18197,2023,2023 ND 106,12.1-20-03,newline,0,N.D.C.C. § 12.1-20-\n03,"position in violation of N.D.C.C. § 12.1-20- 03(2)(c), sexual"
18213,2023,2023 ND 141,14-09-30,newline,0,N.D.C.C. 14-09-\n 30,schedule as required by N.D.C.C. 14-09- 30(2)(d)(1); c.
18227,2023,2023 ND 218,25-03.3-18,newline,0,N.D.C.C. § 25-03.3-\n18,ual review hearing under N.D.C.C. § 25-03.3- 18 seeking discha
18235,2023,2023 ND 226,29-32.1-01,newline,0,N.D.C.C. § 29-32.1-\n01,tution of North Dakota.” N.D.C.C. § 29-32.1- 01(1)(a); Domingu
18237,2023,2023 ND 225,12.1-31.2-01,newline,0,N.D.C.C. § 12.1-31.2-\n01,vacy of another person.” N.D.C.C. § 12.1-31.2- 01(1). “Reasonabl
18237,2023,2023 ND 225,14-09-06.2,newline,0,N.D.C.C. § 14-09-\n06.2,erest factors set out in N.D.C.C. § 14-09- 06.2(1). [¶7] The
20077,2025,2025 ND 10,12.1-20-07,newline,0,N.D.C.C. §§ 12.1-20-\n07,Assault in violation of N.D.C.C. §§ 12.1-20- 07(1)(e) & (2)(a)
